company_slug,title,location,url,updated,ats
anthropic,GTM Strategy & Operations (Enterprise) - EMEA,"London, UK",https://job-boards.greenhouse.io/anthropic/jobs/5005519008,2026-04-01T10:49:08-04:00,Greenhouse
anthropic,"Strategy & Operations, Enterprise Business Partner","San Francisco, CA | New York City, NY",https://job-boards.greenhouse.io/anthropic/jobs/5139423008,2026-04-03T16:11:06-04:00,Greenhouse
ramp,Issuing Partnerships Manager,"New York, NY (HQ)",https://jobs.ashbyhq.com/ramp/671a5957-397b-455e-9d34-04526a784aed,2026-02-23T16:11:24.532+00:00,Ashby
ramp,"Financial Partnerships Manager, Stablecoins & Cross-Border Payments","New York, NY (HQ)",https://jobs.ashbyhq.com/ramp/2f9eaac5-ab42-4f00-aa89-6030bb2b5acb,2026-02-10T01:02:40.312+00:00,Ashby
ramp,"Financial Partnerships Manager, International","New York, NY (HQ)",https://jobs.ashbyhq.com/ramp/f2ad6068-02e7-4986-967e-804ecef9e043,2026-02-13T00:05:38.250+00:00,Ashby
binance,Business Partnership Manager - Payment,Europe,https://jobs.lever.co/binance/b342ec01-d3f9-4df7-bfeb-74d1c3561e77,2026-02-16T04:05:37.723000,Lever
elevenlabs,GTM Enablement - Partnerships Lead,United Kingdom,https://jobs.ashbyhq.com/elevenlabs/2f121da5-8c9a-401a-9332-3156c5d33113,2026-04-01T19:31:23.996+00:00,Ashby
cvx,Chief of Staff CVX Ventures,"London, United Kingdom",https://job-boards.greenhouse.io/cvx/jobs/6690261003,2026-04-10T14:52:40-04:00,Greenhouse
deel,Senior Strategic Partnerships Manager - Oracle,UK,https://jobs.ashbyhq.com/deel/48e94e05-a0f7-4e19-a4a2-4a1fe2148114,2026-04-15T16:02:56.549+00:00,Ashby
andurilindustries,Corporate Development Associate,"Washington, District of Columbia, United States",https://boards.greenhouse.io/andurilindustries/jobs/4971605007?gh_jid=4971605007,2026-04-14T20:42:55-04:00,Greenhouse
andurilindustries,"Head of Growth, Electromagnetic Warfare","Washington, District of Columbia, United States",https://boards.greenhouse.io/andurilindustries/jobs/5083019007?gh_jid=5083019007,2026-04-14T20:42:55-04:00,Greenhouse
andurilindustries,"Head of Growth, Rocket Motor Systems","Washington, District of Columbia, United States",https://boards.greenhouse.io/andurilindustries/jobs/5085807007?gh_jid=5085807007,2026-04-14T20:42:55-04:00,Greenhouse
andurilindustries,"Senior Technology Partnership Manager, Connected Warfare","Bellevue, Washington, United States",https://boards.greenhouse.io/andurilindustries/jobs/5101898007?gh_jid=5101898007,2026-04-17T15:14:58-04:00,Greenhouse
plaid,Strategic Partnerships - Credit,New York,https://jobs.lever.co/plaid/87faf9fb-7b90-4005-b3d9-9b852c9983b8,2026-03-23T16:51:56.190000,Lever
twilio,"Go-to-market Analyst Intern (June 22nd start, 12 weeks)",Remote - US,https://job-boards.greenhouse.io/twilio/jobs/7823588,2026-04-17T04:52:59-04:00,Greenhouse
eucalyptus,Head of Corporate Development,UK - HQ - London,https://job-boards.greenhouse.io/eucalyptus/jobs/4609827005,2026-04-15T15:45:18-04:00,Greenhouse
mollie,Partnerships Manager - Web Agencies ,London,https://jobs.ashbyhq.com/mollie/e5c10100-c84f-4fdf-b053-2974bf019ec1,2026-04-07T11:57:17.746+00:00,Ashby
octoenergy,Partnerships Manager,London (GB),https://jobs.lever.co/octoenergy/9d3dbeed-8fcd-4d92-9658-fae45f0be720,2026-02-10T11:44:31.754000,Lever
omnea,Partnerships Director,London,https://jobs.ashbyhq.com/omnea/18551c5e-9fd3-4753-b99a-d6dd7a303725,2026-04-07T10:17:11.249+00:00,Ashby
omnea,GTM Lead,London,https://jobs.ashbyhq.com/omnea/78963d33-52ec-4918-9fff-0850b285b6d7,2026-04-09T10:31:51.141+00:00,Ashby
