Status,Score,Score_Rationale,Company,Job_Title,Sector,Location,Language_Requirement,Work_Arrangement,Salary_USD,Job_Summary,URL,URL_Status,Found_On
NEW,93,"Perfect intersection of commercial banking expertise and partnership development. Business banking focus directly matches JPMorgan startup banking experience (40/40 skills, 35/35 industry, 18/25 experience).",Monzo,Growth Partnerships Lead - Business Banking,Fintech/Banking,London,N/A,Hybrid,N/A,Lead growth partnerships for Monzo's business banking division. Build channel and referral partnerships to drive B2B growth at the UK's leading digital bank.,https://job-boards.greenhouse.io/monzo/jobs/7101750,Unverified,Greenhouse
NEW,92,"Startup ecosystem partnerships directly transfer from JPMorgan LA startup banking and accelerator work. EMEA scope matches London base. AI sector is high-growth (40/40 skills, 28/35 industry, 24/25 experience).",Anthropic,Startup Partnerships - EMEA,AI/Technology,London,N/A,Hybrid,N/A,Build and scale startup partnerships across EMEA for leading AI safety company. Develop ecosystem relationships with founders and startup communities.,https://job-boards.greenhouse.io/anthropic/jobs/5021140008,Unverified,Greenhouse
NEW,90,"Strong zero-to-one fit at financial automation startup. CoS role matches operator background perfectly. Financial sector aligns with JPMorgan/SVB experience (38/40 skills, 30/35 industry, 22/25 experience).",LiveFlow,Chief of Staff,Fintech/Financial Automation,London,N/A,Hybrid,N/A,Support CEO at financial automation startup building tools for accounting and finance teams. Drive strategic initiatives and operational execution.,https://jobs.ashbyhq.com/liveflow/df3eb756-fcb2-4a0a-adff-1556c28b919a,Unverified,Ashby
NEW,89,"Senior partnership leadership leverages ecosystem development and cross-functional expertise. Regional head scope matches seniority and London base (38/40 skills, 28/35 industry, 23/25 experience).",Anthropic,Head of UK & Northern Europe Partnerships,AI/Technology,London,N/A,Hybrid,N/A,Lead Anthropic's partnership strategy across UK and Northern Europe. Build relationships with enterprises and ecosystem partners in the region.,https://job-boards.greenhouse.io/anthropic/jobs/4982149008,Unverified,Greenhouse
NEW,86,"Fintech CoS role aligns with commercial operator expertise. Early-stage company matches zero-to-one build experience from JPMorgan LA (36/40 skills, 30/35 industry, 20/25 experience).",Tilt,Chief of Staff,Fintech/Corporate Cards,London,N/A,Hybrid,N/A,Support leadership at corporate expense management fintech. Drive strategy and operations for early-stage company building modern corporate card solutions.,https://jobs.ashbyhq.com/tilt/fe2c6309-3dfc-4fd5-9e32-854fe09a0bc0,Unverified,Ashby
NEW,86,"GenAI partnerships and corp dev role leverages both BD expertise and strategic evaluation skills from VC experience. Premier AI company (38/40 skills, 28/35 industry, 20/25 experience).",DeepMind,Business and Corporate Development Manager (GenAI Product & Data Partnerships),AI/Technology,London,N/A,Hybrid,N/A,Drive business development and corporate partnerships for DeepMind's generative AI products. Build strategic data and product partnerships with enterprises.,https://job-boards.greenhouse.io/deepmind/jobs/7262268,Unverified,Greenhouse
NEW,85,"Embedded finance/payments aligns with banking and fintech background. BD role matches commercial build expertise from JPMorgan (35/40 skills, 32/35 industry, 18/25 experience).",Ebury,Business Development Manager - Embedded Finance / Payments,Fintech/Payments,London,N/A,Hybrid,N/A,Drive business development for Ebury's embedded finance and payments products. Build partnerships with platforms and enterprises seeking integrated payment solutions.,https://job-boards.greenhouse.io/ebury/jobs/4656231101,Unverified,Greenhouse
NEW,83,"Director-level BD across Europe matches VP seniority. Hard tech/robotics aligns with resume's explicit hard tech focus. Autonomous delivery is high-growth (36/40 skills, 25/35 industry, 22/25 experience).",Starship Technologies,Director - Business Development Europe,Hard Tech/Robotics,UK,N/A,Hybrid,N/A,Lead business development across Europe for autonomous delivery robot company. Build enterprise and municipality partnerships to expand last-mile delivery operations.,https://jobs.lever.co/starship/dd2f46b7-60b5-4cb8-8630-aa02ccf65740,Unverified,Lever
NEW,82,"SME lending fintech aligns with banking background. BD role matches commercial expertise. Senior level appropriate (34/40 skills, 32/35 industry, 16/25 experience).",iwoca,Senior Business Development Executive,Fintech/Lending,London,N/A,Hybrid,N/A,Drive senior business development for iwoca's SME lending platform. Build partnerships and enterprise relationships to expand fintech lending products.,https://jobs.ashbyhq.com/iwoca.co.uk/49e8cbe1-f423-442b-8da5-1cba861dc0d6,Unverified,Ashby
NEW,80,"GTM expertise from VC portfolio advising transfers well. Cloud-specific partnerships may require domain knowledge Phil would need to build (35/40 skills, 25/35 industry, 20/25 experience).",Anthropic,Cloud GTM Partnerships Lead - EMEA,AI/Technology,London,N/A,Hybrid,N/A,Lead cloud go-to-market partnerships across EMEA for Anthropic. Build strategic relationships with cloud providers and drive joint GTM programs.,https://job-boards.greenhouse.io/anthropic/jobs/4628792008,Unverified,Greenhouse
