Score,Company,Job_Title,Location,Work_Arrangement,Sector,Salary_USD,Job_Summary,URL,Score_Rationale,Times_Seen,First_Seen_Date,Last_Seen_Date,Status,Found_On,URL_Status,Applied_Date,Application_Method,Response_Status,Interview_Stage,Notes
95,Coinbase,Chief of Staff to the COO,Remote-US,Remote-US,Crypto/Payments,N/A,"CoS to C-level executive at $190B fintech unicorn. Direct partnerships with leadership and operational impact. 4+ years fintech/tech operations required; Phil's startup banking and VC experience ideal fit.","https://boards.greenhouse.io/coinbase/jobs/7298274","COO CoS role at leading fintech (40/40 skills, 35/35 industry-fintech, 20/25 seniority). Remote-US location flexible for London based. Crypto payments adjacent to Phil's fintech banking. Critical operational role.",1,2026-03-09,2026-03-09,NEW,Greenhouse,Not Checked,,,
92,Monzo,Chief of Staff to the CEO,London,Hybrid,Fintech/Banking,£89,300-£120,000,"Work directly with CEO at UK's leading digital bank. Zero-to-one product builds, ecosystem partnerships, and strategic operations. 140+ banking clients at JPMorgan; similar scale opportunity here.","https://boards.greenhouse.io/monzo/jobs/2289088","Fintech startup (40/40 skills, 35/35 industry, 25/25 seniority). Direct CEO partnership. London location perfect. JP Morgan startup banking directly transferable; Monzo's ecosystem playbook = Tassi's sweet spot.",1,2026-03-09,2026-03-09,NEW,Greenhouse,Not Checked,,,
90,Deliveroo,Chief of Staff to the CEO,London,Hybrid,Marketplace/Tech,N/A,"Support CEO across 200+ cities, 11 countries. Board meetings, investor relations, strategic initiatives. Operations and cross-functional leadership experience required.","https://boards.greenhouse.io/deliveroo/jobs/4164199","Scaled marketplace (40/40 skills, 33/35 industry-tech, 25/25 seniority). CEO CoS = highest impact. Board/investor exposure matches Phil's VC background. London location + hybrid.",1,2026-03-09,2026-03-09,NEW,Greenhouse,Not Checked,,,
88,Tandem Bank,Chief of Staff,London,Hybrid,Insurtech/Fintech,N/A,"Support CEO across 500+ team. Investor relations, capital strategy, OKRs/KPIs across tech/security. Cross-functional operations at scale. Purpose-driven fintech (green banking).","https://boards.greenhouse.io/tandemmoneylimited/jobs/6206792002","Fintech scale-up (38/40 skills, 35/35 industry, 25/25 seniority). CEO CoS with investor relations = Phil's VC/banking expertise. London tech team scale-up experience valued.",1,2026-03-09,2026-03-09,NEW,Greenhouse,Not Checked,,,
85,Capital.com,Operational Director/Chief of Staff,London,Hybrid,Fintech/Trading,N/A,"Strategic operational partner to CIO/CISO. Drive alignment, efficiency, transparency across 700+ tech/security staff. IT governance, OKRs, KPIs, cross-functional planning.","https://jobs.lever.co/capital/a9d8380f-d02b-4e38-aa3a-fa895b94d125","Fintech ops CoS (36/40 skills, 30/35 industry, 20/25 seniority). CIO partnership model matches. Fintech sector strong. London location. 5+ years ops management aligns.",1,2026-03-09,2026-03-09,NEW,Lever,Not Checked,,,
84,Attentive,Chief of Staff to the CRO,London,Hybrid,SaaS/MarTech,N/A,"CoS to Chief Revenue Officer. Drive alignment, operating rigor, execution across Sales, CS, Partnerships, Services. Global hubs in NYC, SF, London, Sydney.","https://jobs.lever.co/attentive/f470da25-9907-48a1-bb13-a300ab16ee4e","SaaS CoS (36/40 skills, 25/35 industry, 24/25 seniority). Revenue org structure matches BD experience. London hub available. Distributed organization model familiar.",1,2026-03-09,2026-03-09,NEW,Lever,Not Checked,,,
82,Elliptic,Director of Partnerships,Remote-Global,Remote-Global,Fintech/Crypto,N/A,"Build world-class services platform for financial institutions & fintechs. Drive commercial growth through partner ecosystem. Referral, reseller, tech partnerships. Crypto compliance leader.","https://jobs.ashbyhq.com/elliptic/d041a934-3d47-4268-99cf-35c92056f53f","Fintech partnerships director (38/40 skills, 35/35 industry-fintech, 20/25 seniority). Referral/reseller ecosystem = Phil's JPMorgan acceleration partnerships. Remote-global flexibility.",1,2026-03-09,2026-03-09,NEW,Ashby,Not Checked,,,
81,Deel,Director of Partnerships VC & PE,$120,000-$180,000,Remote-Global,HR Tech/Fintech,120000-180000,"Lead VC & PE relationships for global payroll platform. 10+ years tech partnerships/VC/PE. Build partner programs, expand market reach, enhance offerings. Deep North American VC/PE network required.","https://jobs.ashbyhq.com/deel/855183db-ccda-4e37-ad6f-a0f5a319d97a","Fintech partnerships director (38/40 skills, 33/35 industry, 18/25 seniority). VC/PE ecosystem = Interstate/Techstars direct expertise. Salary $120-180K meets threshold. Fintech fintech sector.",1,2026-03-09,2026-03-09,NEW,Ashby,Not Checked,,,
80,Thanx,Director of Partnerships,$100,000-$155,000,Remote-US,SaaS/Loyalty,100000-155000,"100% remote, US-based. Lead partnerships strategy, manage existing partners, evaluate new opportunities. Grow partnership pipeline and bookings. Reports to VP Marketing.","https://boards.greenhouse.io/thanx/jobs/5730152003","SaaS partnerships director (36/40 skills, 20/35 industry-adjacent, 22/25 seniority). Partnership pipeline building = core JPMorgan skill. Remote-US works. $100-155K salary fits.",1,2026-03-09,2026-03-09,NEW,Greenhouse,Not Checked,,,
79,Okta,Sr. Director of Partner Programs Strategy & Operations,N/A,N/A,Security SaaS,N/A,"Build long-term vision and operational engine for global partner ecosystem. Manage partner programs, partnerships, strategy, operations across 5,000+ company.","https://boards.greenhouse.io/okta/jobs/7302700","Enterprise SaaS director (35/40 skills, 18/35 industry-SaaS, 25/25 seniority). Partner ecosystem build = Phil's strength. Okta scale significant but sector less aligned. Salary ~$200K estimate.",1,2026-03-09,2026-03-09,NEW,Greenhouse,Not Checked,,,
