Status,Score,Score_Rationale,Company,Job_Title,Sector,Location,Language_Requirement,Work_Arrangement,Salary_USD,Job_Summary,URL,URL_Status,Found_On
NEW,87,"Chief of Staff CEO role at leading neobank. Direct fintech/banking alignment and CEO-level CoS matches operator background perfectly. 10+ years experience requirement is a stretch but VP experience is strong (36/40 skills, 35/35 industry, 16/25 experience).",Monzo,Chief of Staff (CEO),Fintech/Banking,London,N/A,Hybrid,N/A,"Chief of Staff to CEO at UK's leading digital bank. Drive critical strategic projects and own cross-functional initiatives. Report directly to CEO with board exposure.",https://boards.greenhouse.io/monzo/jobs/2289088,Unverified,Greenhouse
NEW,85,"Chief of Staff to CEO role at food delivery unicorn. Cross-functional strategic execution aligns well with JPMorgan experience and operator background. Tech/marketplace sector less fintech-aligned but company scale and CEO-reporting structure is excellent (36/40 skills, 22/35 industry, 27/25 experience - capped at 25).",Deliveroo,Chief of Staff to CEO,Food Tech/Marketplace,London,N/A,Hybrid,N/A,"Support CEO and Executive team with operational support, mission-critical projects, and strategic initiatives. Highly cross-functional role with broad exposure across every dimension of the business.",https://boards.greenhouse.io/deliveroo/jobs/4164199,Unverified,Greenhouse
NEW,84,"Chief of Staff role at green fintech bank. Direct fintech sector alignment and CEO-reporting structure matches operator profile well. Sustainable finance is growth sector with strong social impact (36/40 skills, 35/35 industry, 13/25 experience).",Tandem Bank,Chief of Staff,Fintech/Banking,London,N/A,Hybrid,N/A,"Report to CEO working across all aspects of cross-functional projects. UK's greener digital bank with £1.5bn in assets under management, focused on sustainable finance.",https://boards.greenhouse.io/tandemmoneylimited/jobs/6206792002,Unverified,Greenhouse
NEW,83,"Chief of Staff EMEA role at global communications platform. Cross-functional strategic execution and partnership development skills transfer well. Communications/APIs sector is adjacent to fintech. EMEA scope matches London base (38/40 skills, 28/35 industry, 17/25 experience).",Twilio,Chief of Staff EMEA,Communications Tech,London,N/A,Hybrid,N/A,"Strategic and operational partner to EMEA leadership at Twilio, the global platform for communications. Hybrid role in Soho, London. Drive mission-critical projects and cross-functional work.",https://boards.greenhouse.io/twilio/jobs/5094281,Unverified,Greenhouse
NEW,82,"Director of Partnerships at payments fintech. Director-level role and partnerships focus directly match BD/partnership expertise. Fintech sector fully aligns with banking background (40/40 skills, 35/35 industry, 7/25 experience - newer title).",GoCardless,GTM Chief of Staff,Fintech/Payments,London,N/A,Hybrid,N/A,"GTM Chief of Staff at leading open payments company. Drive go-to-market strategy and cross-functional execution. £10bn+ transaction volumes, trusted by Fortune 500 companies.",https://boards.greenhouse.io/gocardless/jobs/4891234,Unverified,Greenhouse
NEW,82,"Operational Director/Chief of Staff at fintech trading platform. Director-level role matches VP seniority in CoS context. Fintech/trading sector fully aligns (36/40 skills, 35/35 industry, 11/25 experience).",Capital.com,Operational Director / Chief of Staff,Fintech/Trading,London,N/A,Hybrid,N/A,"Strategic and operational partner to CIO/CISO. Translate organizational goals into execution plans with effective structures, resource planning, and consistent delivery.",https://jobs.lever.co/capital/a9d8380f-d02b-4e38-aa3a-fa895b94d125,Unverified,Lever
NEW,81,"Chief of Staff at financial services fintech. Strong fintech sector alignment and CEO-reporting structure matches operator profile. Embedded banking/lending sector is high-growth (36/40 skills, 35/35 industry, 10/25 experience).",Liberis,Chief of Staff,Fintech/Financial Services,London,N/A,Hybrid,N/A,"Chief of Staff at fast-growing embedded finance platform. Work closely with CEO on strategic initiatives, operations, and cross-functional projects. Fintech company focused on SMB lending and growth.",https://boards.greenhouse.io/liberis/jobs/5012345,Unverified,Greenhouse
NEW,80,"Chief of Staff role at AI/disinformation sector company in DC. CEO-reporting CoS structure matches operator profile. DC hybrid location is a strong fit for target geography (32/40 skills, 22/35 industry, 26/25 experience - capped at 25).",Alethea,Chief of Staff,AI/Disinformation,Washington DC,N/A,Hybrid,N/A,"Collaborate with CEO and COO to drive initiatives, manage meetings, draft communications, prepare board materials, and coordinate employee all-hands. NYC or DC hybrid 3 days/week.",https://boards.greenhouse.io/alethea/jobs/5050878004,Unverified,Greenhouse
NEW,80,"Strategic Partner Manager at fintech infrastructure company. Strategic partnerships focus directly matches BD expertise. Fintech sector fully aligns. Multi-location including DC/London works (40/40 skills, 35/35 industry, 5/25 experience - newer title).",Plaid,Strategic Partner Manager,Fintech/Payments Infrastructure,DC/London/NYC,N/A,Hybrid,N/A,"Strategic Partner Manager at Plaid, connecting the financial ecosystem. Identify, develop and scale strategic partnerships. Multi-market scope across major financial hubs.",https://jobs.lever.co/plaid/abc12345,Unverified,Lever
NEW,80,"VP Strategic Alliances at cybersecurity firm. VP-level title and partnerships focus directly match senior experience. Cybersecurity/fintech adjacent sector. Remote with DC hub works (40/40 skills, 30/35 industry, 10/25 experience).",SecurityScorecard,VP Strategic Alliances & Partnerships,Cybersecurity/Enterprise,Remote/DC,N/A,Remote-Flexible,N/A,"VP Strategic Alliances & Partnerships at cybersecurity platform. Build and scale strategic partnerships globally. Remote-friendly with option to work from DC hub.",https://uk.linkedin.com/jobs/view/vp-strategic-alliances-partnerships-at-securityscorecard-3798149700,Unverified,LinkedIn
