company_slug,title,location,url,updated,ats
anthropic,GTM Strategy & Operations (Enterprise) - EMEA,"London, UK",https://job-boards.greenhouse.io/anthropic/jobs/5005519008,2026-04-01T10:49:08-04:00,Greenhouse
anthropic,Private Equity Partnerships Manager,"New York City, NY",https://job-boards.greenhouse.io/anthropic/jobs/5127645008,2026-04-01T10:49:08-04:00,Greenhouse
anthropic,"Strategy & Operations, Enterprise Business Partner","San Francisco, CA | New York City, NY",https://job-boards.greenhouse.io/anthropic/jobs/5139423008,2026-04-03T16:11:06-04:00,Greenhouse
ramp,Issuing Partnerships Manager,"New York, NY (HQ)",https://jobs.ashbyhq.com/ramp/671a5957-397b-455e-9d34-04526a784aed,2026-02-23T16:11:24.532+00:00,Ashby
ramp,"Financial Partnerships Manager, Stablecoins & Cross-Border Payments","New York, NY (HQ)",https://jobs.ashbyhq.com/ramp/2f9eaac5-ab42-4f00-aa89-6030bb2b5acb,2026-02-10T01:02:40.312+00:00,Ashby
ramp,"Financial Partnerships Manager, International","New York, NY (HQ)",https://jobs.ashbyhq.com/ramp/f2ad6068-02e7-4986-967e-804ecef9e043,2026-02-13T00:05:38.250+00:00,Ashby
binance,Business Partnership Manager - Payment,Europe,https://jobs.lever.co/binance/b342ec01-d3f9-4df7-bfeb-74d1c3561e77,2026-02-16T04:05:37.723000,Lever
elevenlabs,Sales Enablement - Partnerships Lead,United Kingdom,https://jobs.ashbyhq.com/elevenlabs/2f121da5-8c9a-401a-9332-3156c5d33113,2026-04-01T19:31:23.996+00:00,Ashby
bjakcareer, Chief of Staff - UK,United Kingdom,https://jobs.ashbyhq.com/bjakcareer/9a42908f-c5ca-4408-bf0f-7cf7140bcfd4,2026-03-13T05:18:12.024+00:00,Ashby
bjakcareer,Senior Partnerships Manager,United Kingdom,https://jobs.ashbyhq.com/bjakcareer/a4fe2c1f-af32-4e81-93b5-8f7894dd999c,2026-03-20T06:08:08.718+00:00,Ashby
bjakcareer,Growth & Partnership Manager ,United Kingdom,https://jobs.ashbyhq.com/bjakcareer/12a879fc-e812-40aa-a933-49ad1dd4c172,2026-03-20T06:08:27.516+00:00,Ashby
cvx,Chief of Staff CVX Ventures,"London, United Kingdom",https://job-boards.greenhouse.io/cvx/jobs/6690261003,2026-02-11T06:31:25-05:00,Greenhouse
deel,Senior VC Partnerships Manager,UK,https://jobs.ashbyhq.com/deel/3716fd71-c4b4-4e3d-abe6-bf4c71a362dc,2026-04-01T19:26:28.533+00:00,Ashby
pattern,"Director of Partnerships, EMEA","London, United Kingdom",https://jobs.lever.co/pattern/fc621c26-c2ef-40bf-9fb4-3fee3d341436,2025-06-26T19:38:21.919000,Lever
andurilindustries,"Head of Growth, Electromagnetic Warfare","Washington, District of Columbia, United States",https://boards.greenhouse.io/andurilindustries/jobs/5083019007?gh_jid=5083019007,2026-04-03T08:51:37-04:00,Greenhouse
andurilindustries,"Head of Growth, Rocket Motor Systems","Washington, District of Columbia, United States",https://boards.greenhouse.io/andurilindustries/jobs/5085807007?gh_jid=5085807007,2026-04-03T08:51:37-04:00,Greenhouse
plaid,Strategic Partnerships - Credit,New York,https://jobs.lever.co/plaid/87faf9fb-7b90-4005-b3d9-9b852c9983b8,2026-03-23T16:51:56.190000,Lever
eucalyptus,Head of Partnerships,UK - HQ - London,https://job-boards.greenhouse.io/eucalyptus/jobs/4609827005,2026-03-03T15:06:24-05:00,Greenhouse
octoenergy,Partnerships Manager,London (GB),https://jobs.lever.co/octoenergy/9d3dbeed-8fcd-4d92-9658-fae45f0be720,2026-02-10T11:44:31.754000,Lever
saronic,Strategic Partnerships Manager,"Washington, DC",https://jobs.lever.co/saronic/3c85d102-999e-481d-ba04-9b938cb93043,2025-09-23T20:59:24.658000,Lever
tilt,Strategy & Operations Manager - Categories,London,https://jobs.ashbyhq.com/tilt/5751c163-7ae8-4d69-aa4c-3e2f9cff5d96,2026-03-30T16:50:47.836+00:00,Ashby
unlimit,Head of Partnerships,London,https://jobs.lever.co/unlimit/b01c5d26-9123-438b-b7ad-b88821d9e034,2025-09-18T12:24:08.558000,Lever
unlimit,Regional Commercial Director (EU),Remote Europe,https://jobs.lever.co/unlimit/94f21b18-552b-4012-9121-afe6cd0cd9ed,2026-01-27T18:42:20.300000,Lever
forter,Director of Strategic Alliances,United States - Remote,https://job-boards.greenhouse.io/forter/jobs/8436236002,2026-03-31T10:38:10-04:00,Greenhouse
forter,Sr. Corporate Development Manager,United States - New York ,https://job-boards.greenhouse.io/forter/jobs/8438082002,2026-03-31T10:40:05-04:00,Greenhouse
forter,Strategy & Operations Associate,United States - New York ,https://job-boards.greenhouse.io/forter/jobs/8480473002,2026-04-01T14:09:01-04:00,Greenhouse
aircall,"Director, Forward Deployed Engineering & AI GTM Lead",New York Office,https://jobs.lever.co/aircall/af40e77c-554a-436b-b6cb-bf1eca20c9d7,2026-03-05T08:06:34.346000,Lever
aircall,"Senior Manager, Go-To-Market Engineering",New York Office,https://jobs.lever.co/aircall/b08b02e5-84e3-4bde-8888-d61e8d1680f5,2026-03-19T22:47:54.539000,Lever
360learning,Retention & Professional Services Strategy and Operations Manager,"Paris, Remote",https://jobs.lever.co/360learning/a75bf78f-b20c-42fd-8546-3f45479cf520,2025-12-15T08:56:09.023000,Lever
xero,Senior Partnerships Manager,UK: London (7 Devonshire Square),https://jobs.ashbyhq.com/xero/7e44adb8-b4c9-4478-9b6a-c21ffac6aca4,2026-03-02T10:32:48.447+00:00,Ashby
xero,"Associate Chief of Staff, US Sales (7 months, fixed-term)",US: Colorado Remote Worker,https://jobs.ashbyhq.com/xero/2014718a-35b5-4748-89eb-51cbde49ba72,2026-04-02T16:37:25.986+00:00,Ashby
liveflow,Partnerships Manager,"New York, New York",https://jobs.ashbyhq.com/liveflow/8a959edc-5619-4a57-b542-76149e14ca5f,2026-02-01T04:12:51.582+00:00,Ashby
apron,Chief of Staff,London,https://jobs.ashbyhq.com/apron/fbf9d3f5-e0a9-4b74-9959-ded18d7b956c,2026-02-12T16:58:00.837+00:00,Ashby
carta,"Senior Program Manager, Account Management Strategy & Operations","New York, NY",https://job-boards.greenhouse.io/carta/jobs/7614162003,2026-04-03T18:15:50-04:00,Greenhouse
deeter-analytics,Chief of Staff,US - Remote,https://jobs.ashbyhq.com/deeter-analytics/f170857f-08cf-454b-bdf8-559b3250bb46,2026-01-30T20:57:06.701+00:00,Ashby
farsight,Strategy & Operations Associate,New York City,https://jobs.ashbyhq.com/farsight/103845f1-f775-4fe0-a7a2-9185e72e749e,2026-03-17T14:00:05.291+00:00,Ashby
farsight,Strategy & Operations Intern (Summer 2026),New York City,https://jobs.ashbyhq.com/farsight/3e232244-faa1-4a2e-b755-941ca4b24c6d,2026-03-24T17:15:05.974+00:00,Ashby
mercury,Revenue Technology - Data Strategy & Operations Lead,"San Francisco, CA, New York, NY, Portland, OR, or Remote within Canada or United States",https://job-boards.greenhouse.io/mercury/jobs/5806201004,2026-04-02T18:29:23-04:00,Greenhouse
mercury,Staff Product Partnerships Manager - Mercury Bank,"San Francisco, CA, New York, NY, Portland, OR, or Remote within United States",https://job-boards.greenhouse.io/mercury/jobs/5789886004,2026-04-02T18:29:23-04:00,Greenhouse
mercury,Strategic Partnerships - Accounting,"San Francisco, CA, New York, NY, Portland, OR, or Remote within United States",https://job-boards.greenhouse.io/mercury/jobs/5820686004,2026-04-02T18:29:23-04:00,Greenhouse
meridianlink,"VP, Corporate Development ",US Remote,https://jobs.ashbyhq.com/meridianlink/2bb62015-8107-42c6-a7b6-1a53d7d93ace,2025-12-18T19:55:30.341+00:00,Ashby
okta,Renewals Strategy & Operations Manager,"Bellevue, Washington; Chicago, Illinois; New York, New York; San Francisco, California; Washington, DC",https://www.okta.com/company/careers/opportunity/7749062?gh_jid=7749062,2026-03-30T12:05:44-04:00,Greenhouse
qumis,Head of Growth,New York City,https://jobs.ashbyhq.com/qumis/4f93747a-45eb-4dd8-a036-82a952261083,2025-11-17T03:42:08.539+00:00,Ashby
qumis,Director of Partnerships,New York City,https://jobs.ashbyhq.com/qumis/f85e2674-cc89-415e-b03b-87be107496da,2025-11-21T15:11:47.557+00:00,Ashby
rain,Corporate Development Associate ,"New York, NY",https://jobs.ashbyhq.com/rain/aa4a806d-405d-4877-a64b-a3891a9be2b2,2026-03-10T15:35:33.913+00:00,Ashby
samsara,Senior Partner Manager - Strategic Partnerships,Remote - UK,https://www.samsara.com/company/careers/roles/7541227?gh_jid=7541227,2026-03-30T09:17:56-04:00,Greenhouse
spotify,Markets Strategy & Operations Manager,London,https://jobs.lever.co/spotify/713eb2e2-23c8-45fd-85a0-323109123ecd,2026-03-09T16:09:45.133000,Lever
zeneducate,Head of Growth Marketing,London,https://jobs.lever.co/zeneducate/15021eae-1c13-40f7-b5d3-a1ea21dabb50,2026-02-09T14:08:04.887000,Lever
coinbase,Chief of Staff to the COO,Remote - USA,https://www.coinbase.com/careers/positions/7298274?gh_jid=7298274,2026-03-29T22:26:46-04:00,Greenhouse
stripe,"Chief Of Staff,  Enterprise Sales ",Remote,https://stripe.com/jobs/search?gh_jid=7587387,2026-04-01T15:47:56-04:00,Greenhouse
stripe,"Partner Development Manager, Strategic Partnerships",US-San Francisco; US-New York City; US-Seattle; US-Remote; US-Chicago,https://stripe.com/jobs/search?gh_jid=7697672,2026-04-01T11:46:05-04:00,Greenhouse
stripe,"Product Strategy & Operations, Link","NYC, Seattle, San Francisco, Chicago, Atlanta, Remote",https://stripe.com/jobs/search?gh_jid=7657938,2026-04-01T11:46:05-04:00,Greenhouse
