Status,Score,Score_Rationale,Company,Job_Title,Sector,Location,Language_Requirement,Work_Arrangement,Salary_USD,Job_Summary,URL,Found_On
NEW,95,Direct CoS match (exec support at Anzu/JPM); Venture/accelerator sector directly matches Anzu and Techstars-adjacent experience,Techstars,Chief of Staff,Venture/Accelerator,US East Coast,N/A,Remote,N/A,"Chief of Staff leading cross-functional initiatives as force multiplier to CEO. 2-3 year assignment to transform and scale the company, with path to lead business area.",https://boards.greenhouse.io/techstars57/jobs/5451541002,Greenhouse
NEW,94,Direct CoS match (exec support at Anzu/JPM); Strong fintech/finance sector fit (JPM/SVB background),Coinbase,Chief of Staff to the COO,Crypto/Fintech,Remote - US,N/A,Remote,N/A,"Force multiplier for COO, ensuring priorities are advanced and time focused on highest-impact areas at leading crypto exchange. Some in-person participation required.",https://boards.greenhouse.io/coinbase/jobs/7298274,Greenhouse
NEW,91,Partnerships role aligns with Anzu capital formation/BD and JPM ecosystem dev; Strong fintech/finance sector fit (JPM/SVB background); Senior-level matches SVP/VP experience; Spanish requirement aligns with beginner Spanish skills,Jeeves,Head of Global Partnerships,Fintech,Remote - Americas,Spanish,Remote,N/A,"Head of Global Partnerships architecting, leading, and scaling partner ecosystem across North America, LATAM (BR, MX, CO), and EMEA. Requires English/Portuguese fluency, Spanish strongly preferred.",https://jobs.lever.co/tryjeeves/f0faf387-8d07-4784-ba28-acae4a16d70a,Lever
NEW,90,Direct CoS match (exec support at Anzu/JPM); AI/tech sector aligns with AI automation skills and venture portfolio work,Covera Health,Chief of Staff to CEO,Health Tech,New York City,N/A,Remote,"$155,000 - $210,000",Chief of Staff to CEO at health tech company focused on radiology quality. Supports executive leadership with strategic planning and operational execution.,https://boards.greenhouse.io/coverahealth/jobs/5883726003,Greenhouse
NEW,90,Direct CoS match (exec support at Anzu/JPM); AI/tech sector aligns with AI automation skills and venture portfolio work,Apollo.io,Chief of Staff,Sales Tech/SaaS,Remote - US,N/A,Remote,N/A,Chief of Staff in Business Operations partnering closely with CEO to support scaling. Remote-first inclusive organization focused on operational excellence.,https://boards.greenhouse.io/apolloio/jobs/4911212004,Greenhouse
NEW,90,Direct CoS match (exec support at Anzu/JPM); AI/tech sector aligns with AI automation skills and venture portfolio work,Archive,Chief of Staff,E-commerce/Sustainability,Remote (hub in NY),N/A,Remote,N/A,Chief of Staff working alongside CEO as trusted partner at remote-first company. Company offsites twice yearly with occasional travel.,https://jobs.lever.co/Archive/4a43118d-b775-4708-841e-a31eba80d204,Lever
NEW,90,Partnerships role aligns with Anzu capital formation/BD and JPM ecosystem dev; Strong fintech/finance sector fit (JPM/SVB background),VGS,Sr. Manager of Strategic Partnerships,Fintech/Payments,Remote,N/A,Remote,N/A,Owns portfolio of high-impact partnerships driving cross-functional initiatives advancing product strategy and long-term roadmap at payment tokenization leader.,https://jobs.lever.co/verygoodsecurity/2ae7986d-7b83-43b7-93b6-d1999b484812,Lever
NEW,90,Direct CoS match (exec support at Anzu/JPM); AI/tech sector aligns with AI automation skills and venture portfolio work,Replo,Chief of Staff,E-commerce/SaaS,Remote,N/A,Remote,N/A,"Chief of Staff helping Replo scale smarter and faster. Works directly with CEO on high-priority initiatives across GTM, operations, recruiting, product.",https://jobs.ashbyhq.com/replo/ca07277c-c7ad-4eed-85b9-2da6343e7749,Ashby
NEW,90,Direct CoS match (exec support at Anzu/JPM); AI/tech sector aligns with AI automation skills and venture portfolio work,Cambio AI,Chief of Staff,AI/Tech,Remote,N/A,Remote,N/A,"Strategic partner to executive team, leading cross-functional initiatives at AI company.",https://jobs.ashbyhq.com/cambio/c84db9fb-1c21-4d33-84b3-19654c7b7110,Ashby
NEW,90,Direct CoS match (exec support at Anzu/JPM); AI/tech sector aligns with AI automation skills and venture portfolio work,Better Health,Chief of Staff,Health Tech,Remote - US,N/A,Remote,N/A,Chief of Staff at fast-scaling health tech company. Reports to CEO. Contract to hire with potential for full-time.,https://jobs.ashbyhq.com/joinbetter/499d589c-ef47-4c89-a6ac-43be5903cf7e,Ashby
