Status,Score,Score_Rationale,Company,Job_Title,Sector,Location,Language_Requirement,Work_Arrangement,Salary_USD,Job_Summary,URL,URL_Status,Found_On
REPEAT,93,"Perfect intersection of commercial banking expertise and partnership development. Business banking focus directly matches JPMorgan startup banking experience. (40/40 skills, 35/35 industry, 18/25 experience).",Monzo,Growth Partnerships Lead - Business Banking,Fintech/Banking,London,N/A,Hybrid,N/A,First Business Banking Growth Partnerships Lead. Drive ambitious growth targets; 1 in 6 new businesses apply for Monzo Business account. Pivotal role identifying strategic partnerships.,https://job-boards.greenhouse.io/monzo/jobs/7101750,Verified,Greenhouse
REPEAT,92,"Startup ecosystem partnerships directly transfer from JPMorgan LA startup banking and accelerator work. EMEA scope matches London base. AI sector is high-growth (40/40 skills, 28/35 industry, 24/25 experience).",Anthropic,Startup Partnerships - EMEA,AI/Technology,London,N/A,Hybrid,N/A,"Builder-minded Startup Partnerships UK lead to drive adoption of AI capabilities within the startup ecosystem. Partner with leading EMEA VCs, accelerators, and top startup customers.",https://job-boards.greenhouse.io/anthropic/jobs/5021140008,Verified,Greenhouse
REPEAT,91,"Premier fintech unicorn CoS-to-CEO role. IPO readiness leverages finance/strategy MBA. Payments sector directly aligns (40/40 skills, 35/35 industry, 16/25 experience).",Airwallex,Chief of Staff - CEO,Fintech/Payments,London,N/A,Hybrid,N/A,Premier fintech unicorn CoS-to-CEO role. IPO readiness work leverages finance/strategy MBA.,https://jobs.ashbyhq.com/airwallex/26923274-95b8-4365-b8ab-fa09e6755004,Verified,Ashby
REPEAT,90,"Phil has direct Techstars experience. Strategy & ops CoS to CEO matches perfectly. VC/accelerator sector directly relevant. 2-3 year rotational structure is ideal (40/40 skills, 30/35 industry, 20/25 experience).",Techstars,Chief of Staff,Venture Capital/Accelerators,US East Coast,N/A,Hybrid,N/A,Strategy and operations-minded CoS working closely with CEO. 2-3 year assignment to build deep understanding then lead a business area.,https://boards.greenhouse.io/techstars57/jobs/5451541002,Verified,Greenhouse
REPEAT,90,"Strong zero-to-one fit at financial automation startup. CoS matches operator background perfectly (38/40 skills, 30/35 industry, 22/25 experience).",LiveFlow,Chief of Staff,Fintech/Financial Automation,London,N/A,Hybrid,N/A,Chief of Staff at financial automation startup. Partner with CEO on strategic initiatives.,https://jobs.ashbyhq.com/liveflow/df3eb756-fcb2-4a0a-adff-1556c28b919a,Verified,Ashby
REPEAT,88,"Direct fintech sector alignment at UK's leading neobank. CEO-level CoS matches operator background perfectly. 10+ years requirement aligns with VP seniority (36/40 skills, 35/35 industry, 17/25 experience).",Monzo,Chief of Staff (CEO),Fintech/Banking,London,N/A,Hybrid,N/A,Chief of Staff to CEO at UK's leading digital bank. At the centre of Monzo working with leadership team to deliver critical projects. Requires 10+ years experience.,https://boards.greenhouse.io/monzo/jobs/2289088,Verified,Greenhouse
REPEAT,88,"Enterprise BD with C-suite negotiations directly matches Phil's experience. 6-10 years payments/fintech requirement aligns. Crypto/payments sector adjacent to banking (38/40 skills, 28/35 industry, 22/25 experience).",Binance,Business Partnership Manager - Payment,Crypto/Payments,London,N/A,Hybrid,N/A,6-10 years payments/fintech experience. Enterprise-level BD engaging C-suite stakeholders.,https://jobs.lever.co/binance/ebd6b52e-c402-49f9-8945-88a7f6e4cd60,Verified,Lever
REPEAT,88,"Director-level fintech partnerships at leading corporate card company. Directly matches BD/partnerships expertise (40/40 skills, 35/35 industry, 13/25 experience).",Ramp,Director - Product Partnerships,Fintech/Corporate Cards,New York,N/A,Hybrid,"$255,000-$300,000",Director-level fintech partnerships at leading corporate card company.,https://jobs.ashbyhq.com/ramp/224449f1-5164-41af-8c5b-d3cb33cf6621,Verified,Ashby
REPEAT,87,"Fintech infrastructure partnerships at Plaid. GTM partnerships unlock one-to-many customer relationships. Fintech sector perfect match (36/40 skills, 35/35 industry, 16/25 experience).",Plaid,Partnerships Account Executive - Enterprise,Fintech/Payments Infrastructure,London,N/A,Hybrid,N/A,GTM Partnerships team unlocking one-to-many customer relationships with technology platforms.,https://jobs.lever.co/plaid/b134ba8a-eac5-4271-a279-3ed0176b24de,Verified,Lever
REPEAT,86,"Fintech CoS aligns with commercial operator expertise. Early-stage matches zero-to-one experience (36/40 skills, 30/35 industry, 20/25 experience).",Tilt,Chief of Staff,Fintech/Corporate Cards,London,N/A,Hybrid,N/A,Chief of Staff at early-stage fintech corporate cards company.,https://jobs.ashbyhq.com/tilt/fe2c6309-3dfc-4fd5-9e32-854fe09a0bc0,Verified,Ashby
