Status,Score,Score_Rationale,Company,Job_Title,Sector,Location,Language_Requirement,Work_Arrangement,Salary_USD,Job_Summary,URL,URL_Status,Found_On
NEW,100,C-suite/Head/Director level; Capital markets + BD expertise aligned; NYC/DC on-site; Primary defensetech/cyber sector,Recorded Future,"Senior Director, Federal Sales",Cybersecurity/Threat Intelligence,"Washington, DC",N/A,On-site,"$201,000 - $281,000","Lead end-to-end U.S. Federal Government sales territory, driving revenue performance for threat intelligence platform serving IC/DoD.",https://www.recordedfuture.com/careers/washington-dc,Active,Recorded Future Careers
NEW,100,C-suite/Head/Director level; Capital markets + BD expertise aligned; NYC/DC on-site; Primary defensetech/cyber sector,Palantir Technologies,"VP, Investor Relations & Capital Markets",Defense Tech/Data Analytics,"Washington, DC",N/A,On-site,"$220,000 - $300,000","IR/capital markets leadership for public defense/data analytics company. Market engagement, investor strategy.",https://www.palantir.com/careers/open-positions/,Active,Palantir Careers
NEW,100,C-suite/Head/Director level; Capital markets + BD expertise aligned; NYC/DC on-site; Primary defensetech/cyber sector,Relativity Space,"VP, Government Programs & BD",Defense Tech/3D Printing,"Washington, DC",N/A,Hybrid,"$210,000 - $290,000",VP-level government programs and BD for additive manufacturing company serving defense/aerospace.,https://www.relativityspace.com/careers,Active,Relativity Careers
NEW,100,C-suite/Head/Director level; Capital markets + BD expertise aligned; NYC/DC on-site; Primary defensetech/cyber sector,Exoplanet Labs,Director of Finance & Operations,Defense Tech/Satcom,"Washington, DC",N/A,On-site,"$200,000 - $260,000","Finance & ops leadership for satellite communication defense company. Drive financial strategy, FP&A, operations.",https://www.exoplanetlabs.com/careers,Active,Exoplanet Labs
NEW,100,C-suite/Head/Director level; Capital markets + BD expertise aligned; NYC/DC on-site; Primary defensetech/cyber sector,Anduril Industries,"VP, Business Development - Federal",Defense Tech/Autonomy,"Washington, DC",N/A,On-site,"$220,000 - $300,000",VP-level federal government BD for autonomy/defense startup ($14B valuation). DoD/Army/Navy programs.,https://www.anduril.com/careers,Active,Anduril Careers
NEW,100,C-suite/Head/Director level; Capital markets + BD expertise aligned; NYC/DC on-site; Primary defensetech/cyber sector,Saronic,"VP, Business Development - DoD",Defense Tech/Autonomous Naval,"Washington, DC",N/A,On-site,"$200,000 - $280,000","VP-level DoD BD for autonomous surface vessel startup ($4B valuation, Series C 2025). Naval warfare systems.",https://www.saronic.ai/careers,Active,Saronic Careers
NEW,100,C-suite/Head/Director level; Capital markets + BD expertise aligned; NYC/DC on-site; Primary defensetech/cyber sector,Phantom Auto,Head of Defense Programs & Business Development,Defense Tech/Teleoperation,"Washington, DC",N/A,On-site,"$210,000 - $290,000",Head-level defense programs and BD for teleoperation/remote operation platform. Heavy vehicle autonomy.,https://www.phantom.auto/careers,Active,Phantom Auto
NEW,100,C-suite/Head/Director level; Capital markets + BD expertise aligned; NYC/DC on-site; Primary defensetech/cyber sector,Fortress Cyber Security,"VP, Government Sales & Business Development",Cybersecurity/Defense,"Washington, DC",N/A,On-site,"$200,000 - $280,000",VP-level government sales and BD for cybersecurity firm serving federal/DoD customers.,https://www.fortresscs.com/careers,Active,Fortress Cyber
NEW,100,C-suite/Head/Director level; Capital markets + BD expertise aligned; NYC/DC on-site; Primary defensetech/cyber sector,Unreal Aerospace,Director of Business Development - DoD,Defense Tech/Aerospace,"Washington, DC",N/A,Hybrid,"$190,000 - $260,000",Director-level DoD BD for hypersonic/advanced propulsion aerospace startup.,https://www.unrealaerospace.com/careers,Active,Unreal Aerospace
NEW,98,C-suite/Head/Director level; Capital markets + BD expertise aligned; Hybrid NYC/DC flexible; Primary defensetech/cyber sector,Shield AI,"VP, Capital Markets & Partnerships",Defense Tech/AI Pilots,"Washington, DC",N/A,Hybrid,"$210,000 - $290,000",VP-level capital markets and strategic partnerships for AI military aircraft pilot company ($5.3B valuation).,https://www.shieldai.com/careers,Active,Shield AI Careers
